400m,Men,42.82,1336.0
400mH,Men,46.03,1336.0
4x100m,Men,36.62,1336.0
4x200m,Men,1:17.00,1336.0
4x400m,Men,2:50.96,1336.0
300m,Men,30.19,1335.0
400m,Men,42.84,1335.0
400mH,Men,46.05,1335.0
4x100m,Men,36.63,1335.0
4x200m,Men,1:17.03,1335.0
4x400m,Men,2:51.02,1335.0
100m,Men,9.64,1334.0
110mH,Men,12.6,1334.0
200m,Men,19.29,1334.0
300m,Men,30.2,1334.0
400m,Men,42.85,1334.0
400mH,Men,46.07,1334.0
4x100m,Men,36.64,1334.0
4x200m,Men,1:17.05,1334.0
4x400m,Men,2:51.08,1334.0
200m,Men,19.3,1333.0
300m,Men,30.21,1333.0
400m,Men,42.86,1333.0
400mH,Men,46.08,1333.0
4x100m,Men,36.65,1333.0
4x200m,Men,1:17.08,1333.0
4x400m,Men,2:51.14,1333.0
110mH,Men,12.61,1332.0
300m,Men,30.22,1332.0
400m,Men,42.88,1332.0
400mH,Men,46.1,1332.0
4x100m,Men,36.67,1332.0
4x200m,Men,1:17.10,1332.0
4x400m,Men,2:51.20,1332.0
200m,Men,19.31,1331.0
300m,Men,30.23,1331.0
400m,Men,42.89,1331.0
400mH,Men,46.12,1331.0
4x100m,Men,36.68,1331.0
4x200m,Men,1:17.13,1331.0
4x400m,Men,2:51.26,1331.0
100m,Men,9.65,1330.0
110mH,Men,12.62,1330.0
300m,Men,30.24,1330.0
400m,Men,42.9,1330.0
400mH,Men,46.14,1330.0
4x100m,Men,36.69,1330.0
4x200m,Men,1:17.15,1330.0
4x400m,Men,2:51.32,1330.0
200m,Men,19.32,1329.0
300m,Men,30.25,1329.0
400m,Men,42.92,1329.0
400mH,Men,46.16,1329.0
4x100m,Men,36.7,1329.0
4x200m,Men,1:17.18,1329.0
4x400m,Men,2:51.38,1329.0
110mH,Men,12.63,1328.0
200m,Men,19.33,1328.0
300m,Men,30.26,1328.0
400m,Men,42.93,1328.0
400mH,Men,46.18,1328.0
4x100m,Men,36.72,1328.0
4x200m,Men,1:17.20,1328.0
4x400m,Men,2:51.44,1328.0
300m,Men,30.27,1327.0
400m,Men,42.94,1327.0
400mH,Men,46.2,1327.0
4x100m,Men,36.73,1327.0
4x200m,Men,1:17.23,1327.0
4x400m,Men,2:51.51,1327.0
100m,Men,9.66,1326.0
110mH,Men,12.64,1326.0
200m,Men,19.34,1326.0
300m,Men,30.28,1326.0
400m,Men,42.96,1326.0
400mH,Men,46.21,1326.0
4x100m,Men,36.74,1326.0
4x200m,Men,1:17.25,1326.0
4x400m,Men,2:51.57,1326.0
300m,Men,30.29,1325.0
400m,Men,42.97,1325.0
400mH,Men,46.23,1325.0
4x100m,Men,36.75,1325.0
4x200m,Men,1:17.28,1325.0
4x400m,Men,2:51.63,1325.0
110mH,Men,12.65,1324.0
200m,Men,19.35,1324.0
300m,Men,30.3,1324.0
400m,Men,42.98,1324.0
400mH,Men,46.25,1324.0
4x100m,Men,36.77,1324.0
4x200m,Men,1:17.30,1324.0
4x400m,Men,2:51.69,1324.0
100m,Men,9.67,1323.0
200m,Men,19.36,1323.0
300m,Men,30.31,1323.0
400m,Men,43.0,1323.0
400mH,Men,46.27,1323.0
4x100m,Men,36.78,1323.0
4x200m,Men,1:17.33,1323.0
4x400m,Men,2:51.75,1323.0
110mH,Men,12.66,1322.0
300m,Men,30.32,1322.0
