event,gender,performance,points
55mH,MALE,7.39,1068.0
60mH,MALE,7.92,1066.0
60m,MALE,6.76,1064.0
50mH,MALE,6.77,1064.0
55mH,MALE,7.4,1064.0
60mH,MALE,7.93,1063.0
50m,MALE,5.87,1062.0
55m,MALE,6.33,1062.0
50mH,MALE,6.78,1061.0
55mH,MALE,7.41,1060.0
60mH,MALE,7.94,1060.0
60m,MALE,6.77,1059.0
50mH,MALE,6.79,1057.0
55mH,MALE,7.42,1057.0
55m,MALE,6.34,1056.0
60mH,MALE,7.95,1056.0
50m,MALE,5.88,1055.0
60m,MALE,6.78,1054.0
50mH,MALE,6.8,1053.0
55mH,MALE,7.43,1053.0
60mH,MALE,7.96,1053.0
55m,MALE,6.35,1051.0
55mH,MALE,7.44,1050.0
60mH,MALE,7.97,1050.0
50m,MALE,5.89,1049.0
50mH,MALE,6.81,1049.0
60m,MALE,6.79,1048.0
60mH,MALE,7.98,1047.0
55mH,MALE,7.45,1046.0
55m,MALE,6.36,1045.0
50mH,MALE,6.82,1045.0
60mH,MALE,7.99,1044.0
50m,MALE,5.9,1043.0
60m,MALE,6.8,1043.0
55mH,MALE,7.46,1043.0
50mH,MALE,6.83,1042.0
60mH,MALE,8.0,1041.0
55m,MALE,6.37,1039.0
55mH,MALE,7.47,1039.0
60m,MALE,6.81,1038.0
50mH,MALE,6.84,1038.0
60mH,MALE,8.01,1037.0
50m,MALE,5.91,1036.0
55mH,MALE,7.48,1036.0
50mH,MALE,6.85,1034.0
60mH,MALE,8.02,1034.0
55m,MALE,6.38,1033.0
60m,MALE,6.82,1032.0
55mH,MALE,7.49,1032.0
60mH,MALE,8.03,1031.0
50m,MALE,5.92,1030.0
50mH,MALE,6.86,1030.0
55mH,MALE,7.5,1029.0
55m,MALE,6.39,1028.0
60mH,MALE,8.04,1028.0
60m,MALE,6.83,1027.0
50mH,MALE,6.87,1027.0
55mH,MALE,7.51,1025.0
60mH,MALE,8.05,1025.0
50m,MALE,5.93,1024.0
50mH,MALE,6.88,1023.0
55m,MALE,6.4,1022.0
60m,MALE,6.84,1022.0
55mH,MALE,7.52,1022.0
60mH,MALE,8.06,1022.0
50mH,MALE,6.89,1019.0
60mH,MALE,8.07,1019.0
50m,MALE,5.94,1018.0
55mH,MALE,7.53,1018.0
55m,MALE,6.41,1016.0
60m,MALE,6.85,1016.0
50mH,MALE,6.9,1015.0
55mH,MALE,7.54,1015.0
60mH,MALE,8.08,1015.0
50mH,MALE,6.91,1012.0
60mH,MALE,8.09,1012.0
50m,MALE,5.95,1011.0
55m,MALE,6.42,1011.0
60m,MALE,6.86,1011.0
55mH,MALE,7.55,1011.0
60mH,MALE,8.1,1009.0
50mH,MALE,6.92,1008.0
55mH,MALE,7.56,1008.0
60m,MALE,6.87,1006.0
60mH,MALE,8.11,1006.0
50m,MALE,5.96,1005.0
55m,MALE,6.43,1005.0
50mH,MALE,6.93,1004.0
55mH,MALE,7.57,1004.0
60mH,MALE,8.12,1003.0
60m,MALE,6.88,1001.0
55mH,MALE,7.58,1001.0
50mH,MALE,6.94,1000.0
60mH,MALE,8.13,1000.0
50m,MALE,5.97,999.0
55m,MALE,6.44,999.0
50mH,MALE,6.95,997.0
55mH,MALE,7.59,997.0
60mH,MALE,8.14,997.0
60m,MALE,6.89,995.0
55m,MALE,6.45,994.0
55mH,MALE,7.6,994.0
60mH,MALE,8.15,994.0
50m,MALE,5.98,993.0
50mH,MALE,6.96,993.0
60mH,MALE,8.16,991.0
60m,MALE,6.9,990.0
55mH,MALE,7.61,990.0
50mH,MALE,6.97,989.0
55m,MALE,6.46,988.0
60mH,MALE,8.17,988.0
50m,MALE,5.99,987.0
55mH,MALE,7.62,987.0
50mH,MALE,6.98,986.0
60m,MALE,6.91,985.0
60mH,MALE,8.18,985.0
55m,MALE,6.47,983.0
55mH,MALE,7.63,983.0
50mH,MALE,6.99,982.0
